uk	 en	 ru
Автори	Authors	Авторы
Інформація про додаток	Application Information	Информация о приложении
Записник ідей для персонажа	Character idea notebook	Записная книжка идей персонажа
Персонаж №1	Character #1	Персонаж №1
Персонаж №2	Character #2	Персонаж №2
Персонаж №3	Character #3	Персонаж №3
Персонаж №4	Character #4	Персонаж №4
Персонаж №5	Character #5	Персонаж №5
Головне Меню	Main Menu	Главное меню
Дика форма	Wild form	Дикая форма
Про персонажа	About the character	О персонаже
Магія	Magic	Магия
Книга заклинаннь	Book of spells	Книга заклинаний
Інвентар	Inventory	Инвентарь
Ресет	Reset	Сброс
Ресет HP	Reset HP	Сброс HP
Меню	Menu	Меню
Калькулятор	Calculator	Калькулятор
Сила	Strength	Сила
Тілобудова	Constitution	Телосложение
Інтелект	Intelligence	Интеллект
Мудрість	Wisdom	Мудрость
Спритність	Dexterity	Ловкость
Харизма	Charisma	Харизма
Кидки Рятунку	Saving Throws	Спасброски
НАВИЧКИ	SKILLS	НАВЫКИ
Акробатика (Спр)	Acrobatics (Dex)	Акробатика (Ловк)
Догляд тварин (Мдр)	Animal Handling (Wis)	Уход за животными (Мдр)
Обман (Хар)	Deception (Cha)	Обман (Хар)
Аналіз поведінки (Мдр)	Insight (Wis)	Проницательность (Мдр)
Залякування (Хар)	Intimidation (Cha)	Запугивание (Хар)
Аналіз (Інт)	Investigation (Int)	Расследование (Инт)
Артистичність (Хар)	Performance (Cha)	Исполнение (Хар)
Історія (Інт)	History (Int)	История (Инт)
Переконливість (Хар)	Persuasion (Cha)	Убеждение (Хар)
Атлетика (Сил)	Athletics (Str)	Атлетика (Сил)
Медицина (Мдр)	Medicine (Wis)	Медицина (Мдр)
Природа (Інт)	Nature (Int)	Природа (Инт)
Виживання (Мдр)	Survival (Wis)	Выживание (Мдр)
Магія (Інт)	Arcana (Int)	Магия (Инт)
Релігія (інт)	Religion (Int)	Религия (Инт)
Скритність (Спр)	Stealth (Dex)	Скрытность (Ловк)
Спритність рук (Спр)	Sleight of Hand (Dex)	Ловкость рук (Ловк)
Уважність (Мдр)	Perception (Wis)	Внимательность (Мдр)
Ініціатива	Initiative	Инициатива
Швидкість	Speed	Скорость
Бонус Майстерності	Proficiency Bonus	Бонус мастерства
Пасивна Мудрість	Passive Wisdom	Пассивная мудрость
Натхнення	Inspiration	Вдохновение
Рятунок від смерті	Death Saving Throws	Спасброски от смерти
Кістка хіт	Hit Dice	Кубики хитов
Усього	Total	Всего
Мод Магії	Spell Modifier	Модификатор заклинаний
Кістка Гематокрафта	Hemocraft Dice	Куб Гематокрафта
Прихована атака	Sneak Attack	Скрытая атака
Дихання дракона	Dragon Breath	Дыхание дракона
СП Кідок Магії	Spellcasting Rolls	Броски заклинаний
мм	mm	мм
см	cm	см
ем	em	em
зм	gp	зол. монеты
пм	pp	пл. монеты
м.Рівень	m.Level	м.Уровень
м.Підклас	m.Subclass	м.Подкласс
Мультиклас	Multiclass	Мультикласс
Ім'я персонажа	Character Name	Имя персонажа
Рівень	Level	Уровень
Клас	Class	Класс
Досвід	Experience	Опыт
Раса	Race	Раса
Передісторія	Background	Предыстория
Підклас	Subclass	Подкласс
Підраса	Subrace	Подраса
Світогляд	Alignment	Мировоззрение
Шкода	Damage	Урон
Max ХП	Max HP	Макс. ХП
Зцілення	Healing	Исцеление
Атаки та заклинання	Attacks & Spells	Атаки и заклинания
Уміння та Особлисовсті	Skills & Features	Умения и особенности
Інші володіння та мови	Other Proficiencies & Languages	Прочие владения и языки
Нотатки № 1	Notes #1	Заметки № 1
Нотатки № 2	Notes #2	Заметки № 2
Нотатки № 3	Notes #3	Заметки № 3
Нотатки № 4	Notes #4	Заметки № 4
Модифікатори	Modifiers	Модификаторы
Мод	Mod	Мод
Значення	Value	Значение
Спорядження	Equipment	Снаряжение
Зілля	Potions	Зелья
Виснаження	Exhaustion	Истощение
Ресурси класа / раси	Class/Race Resources	Ресурсы класса / расы
Лють варвара	Barbarian Rage	Ярость варвара
Божественний канал	Divine Channel	Божественный канал
Очкі ци	Ki Points	Очки ци
Метамагія	Metamagic	Метамагия
Прокляття крові	Blood Curse	Проклятие крови
Багряні обряди	Crimson Rites	Багровые обряды
Політ	Flight	Полет
Сховати все	Hide All	Скрыть все
Дикі форми	Wild Forms	Дикие формы
Мета магія	Metamagic	Метамагия
Інша навичка	Other Skill	Другое умение
КО	KO	Нокаут
Круг 1	Circle 1	Круг 1
Круг 2	Circle 2	Круг 2
Круг 3	Circle 3	Круг 3
Круг 4	Circle 4	Круг 4
Круг 5	Circle 5	Круг 5
Круг 6	Circle 6	Круг 6
Круг 7	Circle 7	Круг 7
Круг 8	Circle 8	Круг 8
Круг 9	Circle 9	Круг 9
Артефакти - Навички	Artifacts - Skills	Артефакты - Навыки
Підготовка Інфузій	Infusion Preparation	Подготовка Инфузий
Таємничі заклики	Mystic Invocations	Таинственные призывы
Книга заклинань	Book of Spells	Книга заклинаний
Навички - Інфузії-Артефакти	Skills - Infusions-Artifacts	Навыки - Инфузии-Артефакты
Сторінка №1	Page #1	Страница №1
Сторінка №2	Page #2	Страница №2
Сторінка №3	Page #3	Страница №3
Сторінка №4	Page #4	Страница №4
Сторінка №5	Page #5	Страница №5
Введіть назву...	Enter name...	Введите название...
Введіть опис...	Enter description...	Введите описание...
Зброя	Weapon	Оружие
Прикраси	Accessories	Аксессуары
Броня	Armor	Броня
Набори	Sets	Наборы
Різне	Miscellaneous	Разное
Дія	Action	Действие
Бонусна дія	Bonus Action	Бонусное действие
Реакція	Reaction	Реакция
Ритуал	Ritual	Ритуал
Миттєво	Instant	Мгновенно
1 Хід	1 Turn	1 Ход
1 Раунд	1 Round	1 Раунд
1 Хвилина	1 Minute	1 Минута
10 Хвилин	10 Minutes	10 Минут
1 Година	1 Hour	1 Час
2 Години	2 Hours	2 Часа
3 Години	3 Hours	3 Часа
6 Години	6 Hours	6 Часов
10 Години	10 Hours	10 Часов
12 Години	12 Hours	12 Часов
24 Години	24 Hours	24 Часа
До відпочинку	Until Rest	До отдыха
Карта персонажа	Character Sheet	Карта персонажа
Про додаток	About the App	О приложении
Записник ідей для персонажів	Character Idea Notebook	Записник идей для персонажей
Тут реалізовано найбільше функцій:	Most Features Implemented Here	Здесь реализовано наибольшее количество функций
Лінія Життя. У ній є 3 поля для введення цифр: максимальне ХП, шкода, зцілення. Для того, щоб оновити введене значення, необхідно натиснути на відповідну кнопку під полем введення. Це дає змогу швидко та зручно рахувати, скільки ХП у вас залишилось.	Life Line. Contains 3 input fields: Max HP, Damage, Healing. Click the corresponding button to update values. Allows quick HP tracking.	Линия Жизни. Содержит 3 поля для ввода: максимальное ХП, урон, лечение. Для обновления значения нажмите кнопку. Позволяет быстро отслеживать ХП.
Автоматичне перенесення модифікаторів із секції Характеристик у Навички. Якщо було обрано галочку володіння, то до значення Навички додається ваш Бонус Майстерності. Ви так само можете вручну додати своє значення Навички, але якщо після цього, ви зміните значення Бонусу Майстерності або самої Характеристики, то додаток автоматично підраховує значення Навички без вашої додаткової зміни.	Automatic transfer of modifiers from Attributes to Skills. If proficiency is checked, your Proficiency Bonus is added. You can also manually adjust skill values; the app recalculates automatically if attributes change.	Автоматический перенос модификаторов из раздела Характеристик в Навыки. Если выбран флажок владения, добавляется Бонус мастерства. Можно вручную изменить значение навыка, приложение пересчитает автоматически при изменении атрибутов.
Поля для підрахунку снарядів зброї. Ви можете вказати у поле введення кількість знарядь (наприклад, стріл чи болтів) та кнопками вперед чи назад ви можете додати або відняти 1 від значення.	Weapon Ammo Fields. Input number of ammo (arrows/bolts) and use increment/decrement buttons to adjust.	Поля для подсчета снарядов оружия. Введите количество стрел/болтов и используйте кнопки для увеличения/уменьшения.
Поле зілля. Тут можна обрати до 5 різновидів зілля та самостійно вказати назву та кількість. Також ви можете змінити картинку на одну із 13-ти, використовуючи кнопки зліва та справа.	Potion Field. Choose up to 5 potion types, set name and quantity. You can also change the image using left/right buttons.	Поле зелья. Можно выбрать до 5 типов зелий, задать название и количество. Также можно поменять картинку с помощью кнопок влево/вправо.
Ресурси класса або раси. Фактично це ті ж самі звичайні відмітки використання, як і у комірках магії, тільки тут у випадаючому списку ви обираєте, що саме вам потрібно. Наприклад, ви можете обрати Мета магію і з подальшого списку обираєте скільки у вас її є, та вже потім відмічають їх під час використання.	Class/Race Resources. Essentially same as magic slots, choose type from dropdown and mark usage.	Ресурсы класса или расы. Фактически это обычные отметки использования, как в ячейках магии, только выбираете из списка тип и отмечаете использование.
Мультикласс. Біля поля Імені є кнопка М-клас, яка активує додаткові поля для мультикласу.	Multiclass. Next to Name field, M-Class button activates additional multiclass fields.	Мультикласс. Рядом с полем Имя есть кнопка М-класс, активирует дополнительные поля мультикласса.
Таблиця зі значеннями й модифікаторами характеристик. З Лівого боку, за межами карти персонажа, розташована кнопка, яка відкриває таблицю зі значеннями й модифікаторами характеристик.	Attribute & Modifier Table. On the left outside the character sheet, a button opens table with attribute values and modifiers.	Таблица со значениями и модификаторами характеристик. Слева за пределами карты персонажа кнопка открывает таблицу со значениями и модификаторами.
Поля нотаток. Так само, але з правого боку, є 4 кнопки, які активують додаткові поля нотаток.	Notes Fields. Similarly, on the right side, 4 buttons activate additional notes fields.	Поля заметок. Так же, но с правой стороны 4 кнопки активируют дополнительные поля заметок.
Калькулятор. Також є міні калькулятор із можливістю кідати куби безпосередньо у ньому, вибравши відповідний куб і натиснувши “=”. Додатково можливо рахувати шкоду або зцілення: наприклад, якщо написати 2d10+1d8+1d4+2 або 4d4+4, він це теж порахує при натисканні на “=”.	Calculator. Mini-calculator lets you roll dice directly, select dice, click “=”. Can also calculate damage/healing formulas.	Калькулятор. Мини-калькулятор позволяет кидать кубы прямо в нем, выбрать куб, нажать “=”. Можно также посчитать урон/лечение.
